Text,label
recognitionextraordinaryservicesrendereddiscoveryremarkablerayssubsequentlynamed,0
workserumtherapyespeciallyapplicationdiphtheriaopenednewroaddomainmedicalsciencetherebyplacedhandsphysicianvictoriousweaponillnessdeaths,1
humanitarianeffortshelpwoundedsoldierscreateinternationalunderstanding,2
lifelongworkinternationalpeaceconferencesdiplomacyarbitration,2
specialrecognitionpoeticcompositiongivesevidenceloftyidealismartisticperfectionrarecombinationqualitiesheartintellect,3
recognitionextraordinaryservicesrendereddiscoverylawschemicaldynamicsosmoticpressuresolutions,4
recognitionextraordinaryservicesrenderedworksugarpurinesyntheses,4
greatestlivingmasterarthistoricalwritingspecialreferencemonumentalworkIAhistoryRomeI,3
eminentlypracticaladministrationInterParliamentaryUnion,2
untiringskilfuldirectorshipBernPeaceBureau,2
recognitionextraordinaryservicerenderedresearchesinfluencemagnetismuponradiationphenomena,0
workmalariashownentersorganismtherebylaidfoundationsuccessfulresearchdiseasemethodscombating,1
recognitionextraordinaryservicerenderedresearchesinfluencemagnetismuponradiationphenomena,0
recognitionextraordinaryservicesrenderedjointresearchesradiationphenomenadiscoveredProfessorHenriBecquerel,0
longstandingdevotedeffortfavourideaspeacearbitration,2
recognitionextraordinaryservicesrendereddiscoveryspontaneousradioactivity,0
recognitionextraordinaryservicesrenderedjointresearchesradiationphenomenadiscoveredProfessorHenriBecquerel,0
recognitionservicesadvancementchemistrydiscoveryelementsradiumpoloniumisolationradiumstudynaturecompoundsremarkableelement,4
recognitioncontributiontreatmentdiseasesespeciallylupusvulgarisconcentratedlightradiationwherebyopenednewavenuemedicalscience,1
tributenoblemagnificentversatilepoetryalwaysdistinguishedfreshnessinspirationrarepurityspirit,3
recognitionextraordinaryservicesrenderedadvancementchemistryelectrolytictheorydissociation,4
recognitionnumerousbrilliantcompositionsindividualoriginalmannerrevivedgreattraditionsSpanishdrama,3
investigationsdensitiesimportantgasesdiscoveryargonconnectionstudies,0
strivingpubliclawdeveloppeacefultiesnationsmakelawswarhumane,2
recognitionservicesdiscoveryinertgaseouselementsairdeterminationplaceperiodicsystem,4
recognitionworkphysiologydigestionknowledgevitalaspectssubjecttransformedenlarged,1
recognitionfreshoriginalitytrueinspirationpoeticproductionfaithfullyreflectsnaturalscenerynativespiritpeopleadditionsignificantworkProvenccedilalphilologist,3
recognitionservicesadvancementorganicchemistrychemicalindustryworkorganicdyeshydroaromaticcompounds,4
outstandingmeritsepicwriter,3
workcathoderays,0
audacityopposehorrorswar,2
investigationsdiscoveriesrelationtuberculosis,1
considerationdeeplearningcriticalresearchtributecreativeenergyfreshnessstylelyricalforcecharacterizepoeticmasterpieces,3
rolebringingendbloodywarrecentlywagedtwoworldsgreatpowersJapanRussia,2
